Student Name;Student No;2026/02/25;2026/03/02;2026/03/03;2026/03/04;2026/03/09;2026/03/10;2026/03/11;2026/03/13;2026/03/16;2026/03/18;2026/03/19;2026/03/23;2026/03/24;2026/03/25;2026/03/26;2026/03/27;2026/04/08;2026/04/09;2026/04/10;2026/04/13;2026/04/15;2026/05/07;2026/05/08;2026/05/13;2026/05/14;2026/05/20
Student Name 001;STDNUM001;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1
Student Name 002;STDNUM002;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1
Student Name 003;STDNUM003;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
Student Name 004;STDNUM004;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Student Name 005;STDNUM005;0;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;1;0;0;0;0
Student Name 006;STDNUM006;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Student Name 007;STDNUM007;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 008;STDNUM008;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Student Name 009;STDNUM009;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
Student Name 010;STDNUM010;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;1
Student Name 011;STDNUM011;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 012;STDNUM012;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0
Student Name 013;STDNUM013;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1
Student Name 014;STDNUM014;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 015;STDNUM015;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
Student Name 016;STDNUM016;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;0
Student Name 017;STDNUM017;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Student Name 018;STDNUM018;0;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0
Student Name 019;STDNUM019;1;1;1;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1
Student Name 020;STDNUM020;1;1;0;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;1;0
Student Name 021;STDNUM021;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 022;STDNUM022;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
Student Name 023;STDNUM023;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;1
Student Name 024;STDNUM024;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;0
Student Name 025;STDNUM025;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0
Student Name 026;STDNUM026;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1
Student Name 027;STDNUM027;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
Student Name 028;STDNUM028;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0
Student Name 029;STDNUM029;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0
Student Name 030;STDNUM030;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1
Student Name 031;STDNUM031;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1
Student Name 032;STDNUM032;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
Student Name 033;STDNUM033;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0
Student Name 034;STDNUM034;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1
Student Name 035;STDNUM035;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1
Student Name 036;STDNUM036;0;0;0;1;1;0;1;1;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0
Student Name 037;STDNUM037;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1
Student Name 038;STDNUM038;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Student Name 039;STDNUM039;1;1;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;0;1;1;1;1;1;0
Student Name 040;STDNUM040;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1
Student Name 041;STDNUM041;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Student Name 042;STDNUM042;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0
Student Name 043;STDNUM043;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Student Name 044;STDNUM044;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 045;STDNUM045;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 046;STDNUM046;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
Student Name 047;STDNUM047;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Student Name 048;STDNUM048;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0
Student Name 049;STDNUM049;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1
Student Name 050;STDNUM050;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;0
Student Name 051;STDNUM051;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1
Student Name 052;STDNUM052;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1
Student Name 053;STDNUM053;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 054;STDNUM054;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;1
Student Name 055;STDNUM055;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
Student Name 056;STDNUM056;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 057;STDNUM057;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 058;STDNUM058;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1
Student Name 059;STDNUM059;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1
Student Name 060;STDNUM060;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0
Student Name 061;STDNUM061;1;1;0;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Student Name 062;STDNUM062;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1
Student Name 063;STDNUM063;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0
Student Name 064;STDNUM064;1;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 065;STDNUM065;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Student Name 066;STDNUM066;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;1;0;0;1;1;0;0;0
Student Name 067;STDNUM067;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;0;1;1;1;1;0;0;1;0
Student Name 068;STDNUM068;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;0
Student Name 069;STDNUM069;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1
Student Name 070;STDNUM070;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1
Student Name 071;STDNUM071;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1
Student Name 072;STDNUM072;0;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0
Student Name 073;STDNUM073;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0
Student Name 074;STDNUM074;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;1;0
Student Name 075;STDNUM075;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;1
Student Name 076;STDNUM076;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
Student Name 077;STDNUM077;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1
Student Name 078;STDNUM078;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0
Student Name 079;STDNUM079;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0
Student Name 080;STDNUM080;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1
Student Name 081;STDNUM081;1;1;1;1;0;1;1;1;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;0;0
Student Name 082;STDNUM082;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;1;0
Student Name 083;STDNUM083;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0
Student Name 084;STDNUM084;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;0
Student Name 085;STDNUM085;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
Student Name 086;STDNUM086;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;1;0;1;1;0;1;0
Student Name 087;STDNUM087;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;0;1
Student Name 088;STDNUM088;1;1;0;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0
Student Name 089;STDNUM089;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;0
Student Name 090;STDNUM090;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Student Name 091;STDNUM091;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;1;0;1;1;1;1;1
Student Name 092;STDNUM092;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 093;STDNUM093;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;0;1;0
Student Name 094;STDNUM094;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1
Student Name 095;STDNUM095;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Student Name 096;STDNUM096;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;0;0;1;1;1;1;0
Student Name 097;STDNUM097;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;0
Student Name 098;STDNUM098;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0
Student Name 099;STDNUM099;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
Student Name 100;STDNUM100;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;0;0
Student Name 101;STDNUM101;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1
Student Name 102;STDNUM102;1;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0
Student Name 103;STDNUM103;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;0;0
Student Name 104;STDNUM104;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
